"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login","5","0","","0"
"0","","0","Carrinho","3","0","","0"
"0","","0","Checkout","2","0","","0"
"0","","0","Logout","1","0","","0"
